subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
B,1960,0.0678571428571428,0.0,0.0,0.0,0.0005102040816326,0.9647959183673468,0.9964285714285714,1.0,1.0,run_seed_328_hash_e4b578ce,328,hybrid,1.1
A,2295,0.0993464052287581,0.0,0.0,0.0,0.0004357298474945,0.9533769063180828,0.9930283224400872,1.0,1.0,run_seed_325_hash_e4b578ce,325,hybrid,1.1
B,1918,0.0776850886339937,0.0,0.0,0.0,0.0020855057351407,0.9603753910323254,0.994786235662148,1.0,1.0,run_seed_325_hash_e4b578ce,325,hybrid,1.1
A,2071,0.0907774022211492,0.0,0.0,1.0,0.0004828585224529,0.9478512795750844,0.9956542732979236,1.0,1.0,run_seed_316_hash_6135dc5a,316,hybrid,1.2
B,1780,0.0691011235955056,0.0,0.0,0.0,0.0005617977528089,0.9606741573033708,0.994943820224719,1.0,1.0,run_seed_316_hash_6135dc5a,316,hybrid,1.2
A,2281,0.1245067952652345,0.0,0.0,1.0,0.0026304252520824,0.9451994739149496,0.9903551074090312,1.0,1.0,run_seed_301_hash_e4b578ce,301,hybrid,1.1
B,1933,0.0920848422141748,0.0,0.0,0.0,0.0005173305742369,0.966373512674599,0.9932747025349198,1.0,1.0,run_seed_301_hash_e4b578ce,301,hybrid,1.1
A,2041,0.1161195492405683,0.0,0.0,0.0,0.0014698677119059,0.9539441450269476,0.9911807937285644,0.9995100440960314,1.0,run_seed_322_hash_6135dc5a,322,hybrid,1.2
B,1808,0.1050884955752212,0.0,0.0,0.0,0.0011061946902654,0.950774336283186,0.9917035398230089,1.0,1.0,run_seed_322_hash_6135dc5a,322,hybrid,1.2
A,2632,0.1048632218844984,0.0,0.0,0.0,0.0018996960486322,0.9544072948328268,0.9927811550151976,1.0,1.0,run_seed_311_hash_7ac9b09e,311,hybrid,1.0
B,2081,0.0451705910619894,0.0,0.0,0.0,0.0019221528111484,0.975973089860644,0.9971167707832772,0.9995194617972128,1.0,run_seed_311_hash_7ac9b09e,311,hybrid,1.0
A,2244,0.1524064171122994,0.0,0.0,1.0,0.0031194295900178,0.930035650623886,0.9866310160427808,1.0,1.0,run_seed_318_hash_e4b578ce,318,hybrid,1.1
B,1970,0.0761421319796954,0.0,0.0,0.0,0.0005076142131979,0.9614213197969544,0.9939086294416244,1.0,1.0,run_seed_318_hash_e4b578ce,318,hybrid,1.1
A,2121,0.0825082508250825,0.0,0.0,0.0,0.0014144271570014,0.9547383309759548,0.9948137670909948,1.0,1.0,run_seed_302_hash_6135dc5a,302,hybrid,1.2
B,1699,0.0635668040023543,0.0,0.0,0.0,0.0,0.9682165979988228,0.9952913478516776,1.0,1.0,run_seed_302_hash_6135dc5a,302,hybrid,1.2
A,2123,0.1055110692416392,0.0,0.0,1.0,0.0,0.9472444653791804,0.9943476212906264,1.0,1.0,run_seed_318_hash_6135dc5a,318,hybrid,1.2
B,1720,0.0982558139534883,0.0,0.0,0.0,0.0005813953488372,0.9523255813953488,0.9930232558139536,1.0,1.0,run_seed_318_hash_6135dc5a,318,hybrid,1.2
A,2074,0.1152362584378013,0.0,0.0,1.0,0.0009643201542912,0.947926711668274,0.9927675988428158,0.9990356798457088,1.0,run_seed_309_hash_6135dc5a,309,hybrid,1.2
B,1756,0.1013667425968109,0.0,0.0,0.0,0.0005694760820045,0.9515945330296128,0.9943052391799544,1.0,1.0,run_seed_309_hash_6135dc5a,309,hybrid,1.2
A,2128,0.1757518796992481,0.0,0.0,1.0,0.0042293233082706,0.9398496240601504,0.9859022556390976,0.99906015037594,1.0,run_seed_325_hash_6135dc5a,325,hybrid,1.2
B,1700,0.0894117647058823,0.0,0.0,0.0,0.0011764705882352,0.9641176470588236,0.9929411764705882,0.9994117647058824,1.0,run_seed_325_hash_6135dc5a,325,hybrid,1.2
A,2330,0.1236051502145922,0.0,0.0,1.0,0.0017167381974248,0.948068669527897,0.9892703862660944,1.0,1.0,run_seed_313_hash_e4b578ce,313,hybrid,1.1
B,1876,0.1167377398720682,0.0,0.0,0.0,0.0005330490405117,0.9552238805970148,0.990405117270789,0.9994669509594882,1.0,run_seed_313_hash_e4b578ce,313,hybrid,1.1
A,2256,0.1187943262411347,0.0,0.0,1.0,0.0013297872340425,0.9401595744680852,0.9929078014184396,1.0,1.0,run_seed_321_hash_e4b578ce,321,hybrid,1.1
B,2002,0.0774225774225774,0.0,0.0,0.0,0.0009990009990009,0.96003996003996,0.9935064935064936,1.0,1.0,run_seed_321_hash_e4b578ce,321,hybrid,1.1
A,2143,0.1287914139057396,0.0,0.0,1.0,0.0013999066728884,0.9374708352776482,0.9892673821745216,1.0,1.0,run_seed_320_hash_6135dc5a,320,hybrid,1.2
B,1708,0.1370023419203747,0.0,0.0,1.0,0.0023419203747072,0.9473067915690868,0.990632318501171,0.9994145199063232,1.0,run_seed_320_hash_6135dc5a,320,hybrid,1.2
A,2081,0.09514656415185,0.0,0.0,1.0,0.0009610764055742,0.9466602594906296,0.995675156174916,1.0,1.0,run_seed_313_hash_6135dc5a,313,hybrid,1.2
B,1781,0.0808534531162268,0.0,0.0,0.0,0.0022459292532285,0.9595732734418866,0.9943851768669288,1.0,1.0,run_seed_313_hash_6135dc5a,313,hybrid,1.2
