subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
A,2052,0.1228070175438596,0.0,0.0,1.0,0.0009746588693957,0.9454191033138402,0.9902534113060428,1.0,1.0,run_seed_322_hash_e481da2f,322,baseline,1.2
B,1777,0.0866629150253235,0.0,0.0,0.0,0.0028137310073157,0.9583567810917276,0.9938097917839056,1.0,1.0,run_seed_322_hash_e481da2f,322,baseline,1.2
A,2079,0.1192881192881192,0.0,0.0,0.0,0.0024050024050024,0.9523809523809524,0.9918229918229918,0.9990379990379992,1.0,run_seed_314_hash_e481da2f,314,baseline,1.2
B,1727,0.0671685002895194,0.0,0.0,0.0,0.0011580775911986,0.9681528662420382,0.9953676896352056,1.0,1.0,run_seed_314_hash_e481da2f,314,baseline,1.2
A,2315,0.1269978401727861,0.0,0.0,0.2999999999997271,0.0017278617710583,0.9498920086393088,0.9900647948164149,1.0,1.0,run_seed_325_hash_e0cd5d01,325,baseline,1.1
B,1927,0.0809548521017125,0.0,0.0,0.0,0.0010378827192527,0.9647119875454072,0.9953295277633628,0.9994810586403736,1.0,run_seed_325_hash_e0cd5d01,325,baseline,1.1
A,2082,0.100864553314121,0.0,0.0,0.0,0.0019212295869356,0.9548511047070124,0.9932756964457252,1.0,1.0,run_seed_312_hash_e481da2f,312,baseline,1.2
B,1768,0.0984162895927601,0.0,0.0,0.0,0.0016968325791855,0.9581447963800904,0.9915158371040724,1.0,1.0,run_seed_312_hash_e481da2f,312,baseline,1.2
A,2338,0.0893926432848588,0.0,0.0,0.0,0.0004277159965782,0.9542343883661248,0.9948674080410608,1.0,1.0,run_seed_306_hash_e0cd5d01,306,baseline,1.1
B,1864,0.0659871244635193,0.0,0.0,0.0,0.0010729613733905,0.9662017167381974,0.9967811158798284,1.0,1.0,run_seed_306_hash_e0cd5d01,306,baseline,1.1
A,2044,0.1188845401174168,0.0,0.0,1.0,0.0014677103718199,0.9427592954990216,0.9916829745596868,1.0,1.0,run_seed_301_hash_e481da2f,301,baseline,1.2
B,1778,0.1102362204724409,0.0,0.0,1.0,0.0022497187851518,0.9460067491563554,0.9943757030371204,1.0,1.0,run_seed_301_hash_e481da2f,301,baseline,1.2
A,2084,0.0978886756238003,0.0,0.0,1.0,0.0014395393474088,0.9481765834932822,0.9923224568138196,1.0,1.0,run_seed_330_hash_e481da2f,330,baseline,1.2
